objectid,filename,youtubeid,vimeoid,english title,alt. title,country,date,description,subject,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
coll001,cosmic.jpg,,,,,,1910-10-14,,,,46.725562,-117.009633,,pg_9_12_01bl,Image;StillImage,image/jpeg,eng,Public domain,http://rightsstatements.org/vocab/NoC-US/1.0/
coll002,equatorial guinea_exploration of venus.jpg,,,Exploration of Venus,Exploracion de venus,Equatorial Guinea ,,A fictional depiction of man's first landing on venus,venus;spacecraft;space-exploration,,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll003,equatorial guinea_rocket aircraft.jpg,,,Rocket Aircraft,Aoronave Cohete,Equatorial Guinea,,An imaginative depiction of what a spacecraft used for travel might look like,spacecraft;satelite,,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll004,equatorial guinea_russian lunar base.jpg,,,Russian Lunar Base,Base lunar rusa de radio-guia,Equatorial Guinea,,,,,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll005,equitorial guinea_russian satelite.jpg,,,Russian Satelite,Satelite ruso,Equatorial Guinea,,,,,3.752064,8.7737,Personal Collection,,,image/jpg,spa,,
coll006,fujeira_apollo 7.jpg,,,Apollo 7 (Fujeira),,Fujeira,1972,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll007,fujeira_apollo 10.jpg,,,Apollo 10 (Fujeira),,Fujeira,1972,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll008,fujeira_apollo 16.jpg,,,Apollo 16 (Fujeira),,Fujeira,1972,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll009,fujeira_apollo 17.jpg,,,Apollo 17 (Fujeira),,Fujeira,1972,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll010,fujeira_apollo 14.jpg,,,Apollo 14 (Fujeira),,Fujeira,,,,,25.122325,56.334166,Personal Collection,,,image/jpg,eng;ara,,
coll011,,,,,,,,,,,,,,,,,,,
coll012,,,,,,,,,,,,,,,,,,,
coll013,,,,,,,,,,,,,,,,,,,